City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,Sydney,-33.8679,151.2073,72.72,73,100,10.36,AU,1705686055
130,Anadyr,64.75,177.4833,19.9,93,75,2.24,RU,1705686112
131,Lieksa,63.3167,30.0167,6.6,93,100,8.32,FI,1705686112
132,Darwin,-12.4611,130.8418,84.18,80,100,17.27,AU,1705686113
133,Tura,25.5198,90.2201,52.93,78,0,1.81,IN,1705686113
134,Sansanne-Mango,10.3592,0.4708,88.66,9,1,4.52,TG,1705686113
135,Krasnogorskoye,52.2953,86.1979,7.09,99,36,3.96,RU,1705686113
136,Ushuaia,-54.8,-68.3,47.86,76,40,20.71,AR,1705686079
137,Kalmunai,7.4167,81.8167,77.14,87,2,2.13,LK,1705686114
138,Axim,4.8699,-2.2405,82.33,73,5,7.9,GH,1705686114
139,St. John'S,47.5649,-52.7093,27.79,74,75,47.18,CA,1705686114
140,Georgetown,5.4112,100.3354,82.33,89,20,3.44,MY,1705686114
141,Ta`U,-14.2336,-169.5144,83.34,77,98,12.37,AS,1705686115
142,Atakpame,7.5333,1.1333,87.21,23,2,2.66,TG,1705686115
143,Usinsk,65.9939,57.5281,9.07,84,100,18.99,RU,1705686115
144,Barabai,-2.5833,115.3833,74.12,99,100,0.27,ID,1705686115
145,Porto Novo,6.4965,2.6036,85.82,65,3,9.15,BJ,1705686115
146,Deqen,29.9618,90.7188,11.82,70,5,3.51,CN,1705686116
147,Plettenberg Bay,-34.0527,23.3716,70.21,77,1,2.77,ZA,1705686116
148,Khovd,48.0056,91.6419,-0.13,73,5,4.83,MN,1705686116
149,Nadym,65.5333,72.5167,0.63,90,40,19.06,RU,1705686116
150,Merritt,50.1123,-120.7942,17.33,75,100,1.99,CA,1705686117
151,Fort Polk South,31.0511,-93.2158,47.8,57,0,11.5,US,1705686117
152,Westport,41.1415,-73.3579,30.88,83,100,11.5,US,1705685947
153,Arkalyk,50.2486,66.9114,-16.17,100,73,1.7,KZ,1705686117
154,Umluj,25.0213,37.2685,73.92,50,0,14.52,SA,1705686118
155,Haiku-Pauwela,20.9219,-156.3051,69.04,88,0,3.44,US,1705686118
156,Hamilton,39.1834,-84.5333,27.09,78,100,23.0,US,1705685922
157,Sidrolandia,-20.9319,-54.9614,94.89,33,78,7.56,BR,1705686118
158,Santiago De Chuco,-8.15,-78.1833,62.78,65,100,9.78,PE,1705686119
159,Corbelia,-24.7989,-53.3067,85.35,52,41,6.24,BR,1705686119
160,Omaruru,-21.4333,15.9333,79.18,27,2,15.68,NA,1705686119
161,Kismayo,-0.3582,42.5454,80.65,83,14,13.22,SO,1705686119
162,Guerrero Negro,27.9769,-114.0611,65.23,65,100,4.07,MX,1705686119
163,Mangai,-4.05,19.5333,80.91,63,71,2.33,CD,1705686120
164,Belmonte,-15.8631,-38.8828,84.51,66,46,12.59,BR,1705686120
165,Xiongzhou,25.1167,114.3,58.53,81,82,5.57,CN,1705686120
166,Taroa,8.7058,171.2275,79.39,88,100,18.72,MH,1705686120
167,Salinas,36.6777,-121.6555,57.63,86,0,6.91,US,1705686120
168,Urucara,-2.5364,-57.76,91.06,50,85,2.55,BR,1705686121
169,Reggane,26.7158,0.1714,71.47,7,90,7.25,DZ,1705686121
170,Minot,48.2325,-101.2963,3.42,72,100,14.97,US,1705685899
171,Saldanha,-33.0117,17.9442,91.45,59,12,9.6,ZA,1705686121
172,La Foa,-21.7108,165.8276,78.17,92,12,2.82,NC,1705686121
173,Qamdo,31.1667,97.2333,13.08,28,41,3.15,CN,1705686122
174,Port Blair,11.6667,92.75,78.84,78,20,5.75,IN,1705686122
175,Alytus,54.4,24.05,27.19,86,70,11.3,LT,1705686122
176,Patti,31.2808,74.8572,48.27,36,0,2.3,IN,1705686122
177,Tobruk,32.0836,23.9764,67.64,48,71,11.3,LY,1705686123
178,Emerald,-23.5333,148.1667,75.34,94,94,9.62,AU,1705686123
179,Colares,38.7992,-9.4469,57.76,80,75,25.99,PT,1705686123
180,Bardai,11.65,7.2333,75.29,10,4,9.01,NG,1705686123
181,Xilin Hot,43.9667,116.0333,9.72,95,100,11.68,CN,1705686123
